Articolo,DESCRIZIONE,Prezzo,Stato ProFAR. DOTto
0549.02.57,DIFFUSORE VETRO BIANCO NEWTON,  86.00 ,3
0549.25.00,DIFFUSORE VETRO TRASP. NEWTON,  99.00 ,3
0549.25.57,DIFFUSORE VETRO BIANCO NEWTON,  89.00 ,3
0549.32.00,DIFFUSORE VETRO TRASP. NEWTON,  96.00 ,3
0549.32.57,DIFFUSORE VETRO BIANCO NEWTON,  88.00 ,3
0556/3.01,ROS. LINEARE C/ALIM. X 3 350mA,  202.00 ,1
0556/3.02,ROS. LINEARE C/ALIM. X 3 350mA,  220.00 ,3
0556/3.05,ROS. LINEARE C/ALIM. X 3 350mA,  220.00 ,3
0556/4.01,ROS. LINEARE C/ALIM. X 4 350mA,  220.00 ,3
0556/4.02,ROS. LINEARE C/ALIM. X 4 350mA,  245.00 ,3
0556/4.05,ROS. LINEARE C/ALIM. X 4 350mA,  245.00 ,3
0556/6.01,ROS. LINEARE C/ALIM. X 6 350mA,  288.00 ,3
0556/6.02,ROS. LINEARE C/ALIM. X 6 350mA,  345.00 ,3
0556/6.05,ROS. LINEARE C/ALIM. X 6 350mA,  345.00 ,3
0557/2.01,ROS. RADIALE C/ALIM. X 2 350mA,  179.00 ,3
0557/2.02,ROS. RADIALE C/ALIM. X 2 350mA,  179.00 ,3
0557/3.01,ROS. RADIALE C/ALIM. X 3 350mA,  225.00 ,3
0557/3.02,ROS. RADIALE C/ALIM. X 3 350mA,  225.00 ,3
0557/6.01,ROS. RADIALE C/ALIM. X 6 350mA,  275.00 ,3
0557/6.02,ROS. RADIALE C/ALIM. X 6 350mA,  275.00 ,3
0558.57,VETRO LATTIMO X FUSO' 30,  74.00 ,3
0559.57,VETRO LATTIMO X FUSO' 40,  115.00 ,3
0576.57,VETRO LATTIMO X LIOLA' PARETE,  78.00 ,3
0587.57,VETRO LATTIMO X MIR,  72.00 ,3
0600.01,ROSONE TONDO X 3 SOSP. 230V,  155.00 ,3
0600.02,ROSONE TONDO X 3 SOSP. 230V,  155.00 ,3
0600.35,ROSONE TONDO X 3 SOSP. 230V,  155.00 ,3
0601.01,ROSONE TONDO X 5 SOSP. 230V,  185.00 ,3
0601.02,ROSONE TONDO X 5 SOSP. 230V,  185.00 ,3
0601.35,ROSONE TONDO X 5 SOSP. 230V,  185.00 ,3
0602.01,ROSONE RADIALE 1/12 SOSP. 230V,  190.00 ,3
0602.02,ROSONE RADIALE 1/12 SOSP. 230V,  190.00 ,3
0603.01,ROSONE RADIALE 1/4 SOSP. 230V,  145.00 ,3
0603.02,ROSONE RADIALE 1/4 SOSP. 230V,  145.00 ,3
0604.01,ROSONE PARETE 1 LAMPADA 230V,  39.00 ,3
0604.02,ROSONE PARETE 1 LAMPADA 230V,  39.00 ,3
0605.01,DEVIAT. DECENTR. EDISON SYST.,  8.00 ,3
0605.02,DEVIAT. DECENTR. EDISON SYST.,  8.00 ,3
0606.01,CAVO TESS. 500 CM EDISON SYST.,  26.00 ,3
0606.02,CAVO TESS. 500 CM EDISON SYST.,  26.00 ,3
0607.01,ROSONE X 1 SOSPENSIONE 230V,  22.00 ,3
0607.02,ROSONE X 1 SOSPENSIONE 230V,  22.00 ,3
0607.35,ROSONE X 1 SOSPENSIONE 230V,  22.00 ,3
